street_address,industry,total_businesses_historical,avg_lifespan_historical,median_lifespan_historical,success_rate_12yrs,avg_seats_historical,current_businesses_2023,avg_seats_2023,total_seats_2023,mean_current_comp_200m,mean_current_comp_50m,median_current_comp_200m,clue_area,clue_avg_lifespan,clue_success_rate,vs_area_benchmark,better_than_area
Punch Lane,Cafes,3,5.333333333333333,2,33.33333333333333,47.333333333333336,1,66,66,68,3,68,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.5338129496402884,FALSE
Queen Street,Cafes,88,6.636363636363637,5,13.636363636363635,69.45454545454545,29,66,1928,62,5,70,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.2307826466099847,FALSE
Queen Street,Takeaway,22,4.7727272727272725,4,0,18.5,8,11,86,62,4,63.5,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.8664479850046867,FALSE
Queens Bridge,Cafes,8,8.5,9.5,50,138.125,1,350,350,30,1,30,Southbank,7.5495049504950495,25.247524752475247,0.9504950495049505,TRUE
Queensberry Street,Cafes,22,6.863636363636363,4,18.181818181818183,40.81818181818182,14,36,511,17,2,16,North Melbourne,7.5,21.551724137931032,-0.6363636363636367,FALSE
Queensberry Street,Takeaway,7,6.714285714285714,5,14.285714285714285,14,1,15,15,25,1,25,North Melbourne,7.470588235294118,21.568627450980394,-0.7563025210084033,FALSE
Rakaia Way,Cafes,6,12.5,12,50,131.66666666666666,3,135,406,17,2,17,Docklands,6.1003344481605355,13.377926421404682,6.3996655518394645,TRUE
Rathdowne Street,Cafes,34,7.147058823529412,4.5,20.588235294117645,45.44117647058823,15,59,881,15,4,17,Carlton,7.338541666666667,22.65625,-0.19148284313725483,FALSE
Rathdowne Street,Takeaway,5,4.2,2,20,13.6,4,20,82,18,4,18,Carlton,6.523809523809524,17.46031746031746,-2.3238095238095235,FALSE
Riverside Quay,Cafes,10,6.6,4,20,128.6,10,121,1207,25,8,24,Southbank,7.5495049504950495,25.247524752475247,-0.9495049504950499,FALSE
Rose Lane,Cafes,4,2.5,3,0,42,4,34,136,30,7,30,Melbourne (CBD),6.867146282973621,18.80095923261391,-4.367146282973621,FALSE
Rosslyn Street,Cafes,8,5.5,3.5,12.5,33.125,4,36,142,4,0,4.5,West Melbourne (Residential),6.841463414634147,17.073170731707318,-1.3414634146341466,FALSE
Rosslyn Street,Takeaway,3,2,2,0,38.666666666666664,0,0,0,0,NA,NA,West Melbourne (Residential),5.947368421052632,5.263157894736842,-3.947368421052632,FALSE
Royal Parade,Cafes,8,7.375,7,25,81.75,4,89,355,4,3,2,Parkville,6.472727272727273,14.545454545454545,0.9022727272727273,TRUE
Russell Street,Cafes,92,6.565217391304348,4,20.652173913043477,68.83695652173913,33,82,2691,109,9,122,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.3019288916692737,FALSE
Russell Street,Takeaway,16,4.5,2.5,6.25,13.125,3,9,26,97,5,109,Melbourne (CBD),5.639175257731959,12.199312714776632,-1.1391752577319592,FALSE
Siddeley Street,Cafes,8,7.25,6,25,68.5,8,93,744,8,3,8,Docklands,6.1003344481605355,13.377926421404682,1.1496655518394645,TRUE
Southbank Boulevard,Cafes,8,8.75,9,37.5,98.875,5,123,617,21,4,24,Southbank,7.5495049504950495,25.247524752475247,1.2004950495049505,TRUE
Southgate Avenue,Cafes,35,8.942857142857143,7,31.428571428571427,131.42857142857142,16,160,2552,20,13,20,Southbank,7.5495049504950495,25.247524752475247,1.3933521923620935,TRUE
Southgate Avenue,Takeaway,4,11.75,12.5,50,24,0,0,0,0,NA,NA,Southbank,7.37037037037037,25.925925925925924,4.37962962962963,TRUE
Spencer Street,Cafes,56,6.017857142857143,4,12.5,56.107142857142854,28,63,1761,18,5,15,Docklands,6.1003344481605355,13.377926421404682,-0.08247730530339226,FALSE
Spencer Street,Takeaway,16,6,6,0,13.8125,7,17,116,15,6,15,Docklands,5.882352941176471,15.686274509803921,0.117647058823529,TRUE
Spring Street,Cafes,25,7.84,8,20,62.64,8,76,609,40,2,44,Melbourne (CBD),6.867146282973621,18.80095923261391,0.9728537170263785,TRUE
Spring Street,Takeaway,3,10,6,33.33333333333333,20.666666666666668,1,16,16,29,2,29,Melbourne (CBD),5.639175257731959,12.199312714776632,4.360824742268041,TRUE
St Kilda Road,Cafes,68,7.867647058823529,6,26.47058823529412,102.52941176470588,29,73,2125,10,3,9,Melbourne (Remainder),8.677966101694915,30.508474576271187,-0.8103190428713862,FALSE
St Kilda Road,Takeaway,8,8.375,6,25,18.375,4,16,66,9,3,10,Melbourne (Remainder),9.1,30,-0.7249999999999996,FALSE
Star Circus,Cafes,8,6.875,6,25,85.125,7,77,537,20,16,20,Docklands,6.1003344481605355,13.377926421404682,0.7746655518394645,TRUE
Star Circus,Takeaway,3,3.3333333333333335,3,0,14,1,12,12,20,16,20,Docklands,5.882352941176471,15.686274509803921,-2.5490196078431375,FALSE
Star Crescent,Cafes,9,7.333333333333333,5,22.22222222222222,72.11111111111111,6,76,459,20,16,20,Docklands,6.1003344481605355,13.377926421404682,1.2329988851727975,TRUE
Street,Cafes,5,11.8,11,40,43.4,2,57,114,9,3,9,Melbourne (Remainder),8.677966101694915,30.508474576271187,3.1220338983050855,TRUE
Stubbs Street,Cafes,3,4.666666666666667,4,0,31,3,53,158,2,0,2,Kensington,6.205128205128205,12.82051282051282,-1.5384615384615383,FALSE
Sturt Street,Cafes,9,5.666666666666667,6,11.11111111111111,98.11111111111111,4,98,390,4,0,3,Southbank,7.5495049504950495,25.247524752475247,-1.8828382838283826,FALSE
Sturt Street,Takeaway,3,7.666666666666667,4,33.33333333333333,8.333333333333334,0,0,0,0,NA,NA,Southbank,7.37037037037037,25.925925925925924,0.2962962962962967,TRUE
Sutherland Street,Cafes,7,2.857142857142857,2,0,56.285714285714285,1,85,85,87,4,87,Melbourne (CBD),6.867146282973621,18.80095923261391,-4.010003425830764,FALSE
Sutton Street,Cafes,3,3.3333333333333335,4,0,129.33333333333334,1,28,28,1,0,1,North Melbourne,7.5,21.551724137931032,-4.166666666666666,FALSE
Swanston Street,Cafes,183,6.715846994535519,4,20.21857923497268,86.69398907103825,73,70,5107,62,5,58,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.15129928843810259,FALSE
Swanston Street,Takeaway,41,6.097560975609756,4,12.195121951219512,20.682926829268293,17,17,287,51,5,35,Melbourne (CBD),5.639175257731959,12.199312714776632,0.458385717877797,TRUE
Tattersalls Lane,Cafes,3,13.333333333333334,16,66.66666666666666,97.66666666666667,2,110,220,133,9,133,Melbourne (CBD),6.867146282973621,18.80095923261391,6.4661870503597125,TRUE
Therry Street,Cafes,4,5.25,2.5,25,31.5,1,36,36,15,8,15,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.6171462829736214,FALSE
Victoria Harbour Promenade,Cafes,6,4,2.5,0,285.8333333333333,0,0,0,0,NA,NA,Docklands,6.1003344481605355,13.377926421404682,-2.1003344481605355,FALSE
Victoria Parade,Cafes,9,8.11111111111111,7,22.22222222222222,68.33333333333333,6,68,410,2,0,2.5,East Melbourne,8.106666666666667,28.000000000000004,0.004444444444443363,TRUE
Victoria Street,Cafes,74,7.945945945945946,6,25.675675675675674,59.108108108108105,32,60,1921,19,3,19,West Melbourne (Residential),6.841463414634147,17.073170731707318,1.104482531311799,TRUE
Victoria Street,Takeaway,33,6.848484848484849,4,18.181818181818183,14.818181818181818,7,14,99,22,4,20,Melbourne (CBD),5.639175257731959,12.199312714776632,1.2093095907528895,TRUE
Waratah Place,Cafes,9,6.111111111111111,6,11.11111111111111,74.44444444444444,1,80,80,134,13,134,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.7560351718625107,FALSE
Waterfront Way,Takeaway,3,3.6666666666666665,4,0,10,1,16,16,25,0,25,Docklands,5.882352941176471,15.686274509803921,-2.2156862745098045,FALSE
Waterview Walk,Cafes,12,3.8333333333333335,3,0,54.583333333333336,4,52,209,21,4,21,Docklands,6.1003344481605355,13.377926421404682,-2.267001114827202,FALSE
Wellington Parade,Cafes,28,6,2,17.857142857142858,51.392857142857146,8,50,397,5,2,7,East Melbourne,8.106666666666667,28.000000000000004,-2.1066666666666674,FALSE
Wellington Parade,Takeaway,3,10,10,33.33333333333333,22.333333333333332,2,18,36,7,4,7,East Melbourne,6.416666666666667,16.666666666666664,3.583333333333333,TRUE
Whiteman Street,Cafes,42,8.380952380952381,6,33.33333333333333,154.04761904761904,30,162,4849,24,22,27,Southbank,7.5495049504950495,25.247524752475247,0.8314474304573318,TRUE
William Street,Cafes,50,7.88,7,20,91.9,15,65,981,38,5,45,Melbourne (CBD),6.867146282973621,18.80095923261391,1.0128537170263785,TRUE
William Street,Takeaway,16,5.25,4,12.5,21.6875,4,14,58,43,4,45,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.38917525773195916,FALSE
